cluster_id,cluster_label,cluster_size,cluster_wsk_total,word,ws,wsk,intent,pillar,domains
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы цена за м2,494,222,pricing,uborka-territorii,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы триммером цена за м2,218,159,pricing,uborka-territorii,"arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы цены,4874,108,pricing,uborka-territorii,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы цена за сотку московская область,78,52,pricing,uborka-territorii,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы триммером цена,2445,46,pricing,uborka-territorii,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,поднять участок на даче цена,114,42,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,покос бурьяна цена за сотку,38,34,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,обрезка яблонь цена в подмосковье,46,27,lead,arboristika,"arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,калькулятор уклона пандуса для инвалидов,27,19,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,поднять участок цена,228,19,pricing,other,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы триммером цена за сотку,96,19,pricing,uborka-territorii,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,несущая способность деревянной балки калькулятор,38,17,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,как посчитать свп для плитки количество,15,15,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы на участке цена за сотку,39,14,pricing,uborka-territorii,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,стрижка туй цена,130,13,pricing,other,"arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,помывка фасадов зданий цена,17,10,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,измельчение веток в щепу цена,15,9,pricing,other,"arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,покос травы трактором цена,64,9,pricing,uborka-territorii,"arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,выкорчевывание пней цена,36,8,pricing,other,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,минитрактор авант цена,8,8,pricing,other,arborist.su
12,цена / покос / травы / покос травы / цена сотку,33,913,стоимость покоса травы за 1 кв м прайс,8,8,pricing,other,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,как рассчитать свп для плитки калькулятор,13,7,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,аренда минитрактора с ковшом цена,11,6,pricing,other,arborist.su
12,цена / покос / травы / покос травы / цена сотку,33,913,дробление веток в щепу цена,34,6,pricing,other,"arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,фрезерование земли трактором цена за сотку,8,6,pricing,other,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,кошение травы триммером цена за сотку,5,5,pricing,other,"arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,подеревная съемка цена,20,5,pricing,other,arborist.su
12,цена / покос / травы / покос травы / цена сотку,33,913,покосить борщевик цена,5,5,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,арбористы цена за дерево в подмосковье,3,3,lead,other,"arborist.su,arboristik.ru,liwood.ru"
12,цена / покос / травы / покос травы / цена сотку,33,913,подстричь кусты цена,4,3,pricing,other,liwood.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,разборка старых деревянных домов и вывоз мусора цена,4,3,pricing,other,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,разборка строений и вывоз мусора цена,156,3,pricing,other,arboristik.ru
12,цена / покос / травы / покос травы / цена сотку,33,913,чистка леса от сухостоя цена,3,3,pricing,other,"arboristik.ru,liwood.ru"
56,снега наледи / наледи / чистка / снега / крыши,2,850,чистка крыши от снега и наледи цены,951,712,pricing,other,liwood.ru
56,снега наледи / наледи / чистка / снега / крыши,2,850,чистка кровли от снега и наледи цена в москве,153,138,lead,other,liwood.ru
34,уборка / снега / уборка снега / снега цена / цена,7,823,очистка снега с крыши цена за квадратный метр,469,333,pricing,other,liwood.ru
34,уборка / снега / уборка снега / снега цена / цена,7,823,уборка снега с крыши цена,3024,211,pricing,other,liwood.ru
34,уборка / снега / уборка снега / снега цена / цена,7,823,уборка снега цена за квадратный метр,1296,127,pricing,other,liwood.ru
34,уборка / снега / уборка снега / снега цена / цена,7,823,уборка снега цена,11785,93,pricing,other,liwood.ru
34,уборка / снега / уборка снега / снега цена / цена,7,823,уборка снега заказать,2612,32,lead,other,liwood.ru
