keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster
вывоз мусора бытового,25225,21528,19,3,gsvm.ru;mmusor.ru;musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2,5,/,СЧ,коммерческий,vyvoz-musora,False
вывоз бытового мусора,25225,21528,21508,2,mmusor.ru;musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28,1,/,ВЧ,коммерческий,vyvoz-musora,False
услуга вывоза мусора,22082,12944,12944,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:105,1,/,ВЧ,коммерческий,vyvoz-musora,False
клининг цены,31235,10826,10825,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,10,/stoimost,ВЧ,коммерческий,,False
вывоз мусора,384717,7907,7904,2,gsvm.ru;musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2,16,/,ВЧ,коммерческий,vyvoz-musora,False
мусора вывоз,313040,5775,0,2,gsvm.ru;musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:81,11,/,ВЧ,коммерческий,vyvoz-musora,False
короед,148568,5348,5348,3,arbogarden.ru;kronotech.ru;liwood.ru,0,not_planned,,,12,/info/articles/sposoby-zashchity-ot-koroeda,ВЧ,общий,,False
демонтаж,399381,3587,3587,3,demontazhmsk.ru;kronotech.ru;snosim.com,0,not_planned,,,24,/,ВЧ,общий,demontazh-b2c,False
короед жук,13817,3295,1722,2,arbogarden.ru;liwood.ru,0,not_planned,,,17,/stati/obrabotka-dereva-ot-koroeda,ВЧ,общий,,False
клининговая компания,76906,3241,3240,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,14,/,ВЧ,коммерческий,,False
вывоз мусора строительного,26349,3151,194,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2,11,/,СЧ,коммерческий,vyvoz-musora,False
вывоз строительного мусора,26349,3151,2956,3,gsvm.ru;musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:17,12,/,ВЧ,коммерческий,vyvoz-musora,False
услуги по вывозу мусора,5039,3088,3088,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:105,1,/service,ВЧ,коммерческий,vyvoz-musora,False
чистка снега с крыши,66672,2946,2945,3,alpbond.org;formula-v.ru;liwood.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,12,/sbros-snega-s-krysh,ВЧ,общий,uborka-snega,False
чистка снега,209053,2318,2311,2,liwood.ru;promalper.ru,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,9,/services/uborka-territorii/uborka-snega-vruchnuyu,ВЧ,общий,uborka-snega,False
услуги клининга,11114,2308,2308,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,18,/,ВЧ,коммерческий,,False
тбо,106790,2245,2245,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,17,/blog/chto-takoe-tbo,ВЧ,общий,vyvoz-musora,False
обращение с тко это что,7771,2219,185,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,21,/stati/tko-v-kvitancii,СЧ,общий,vyvoz-musora,False
уборка снега с крыши,110776,2190,2183,6,alpbond.org;cleaning-moscow.ru;fasadrf.ru;kronotech.ru;liwood.ru;promalper.ru,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,10,/uborka-snega-s-kryish.html,ВЧ,общий,uborka-snega,False
