keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster
сотка,634711,39823,39823,1,kronotech.ru,0,not_planned,,,41,/publications/skolko-m2-v-sotke,ВЧ,общий,,False
вывоз мусора бытового,25225,21528,19,3,gsvm.ru;mmusor.ru;musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2,5,/,СЧ,коммерческий,vyvoz-musora,False
вывоз бытового мусора,25225,21528,21508,2,mmusor.ru;musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28,1,/,ВЧ,коммерческий,vyvoz-musora,False
садовник на дом,19399,18411,18411,1,drovosek-mo.ru,1,not_planned,,,9,/uslugi-sadovnika,ВЧ,общий,,False
услуги уборки,34731,14706,14706,1,moscleaning24.ru,0,not_planned,,,29,/,ВЧ,коммерческий,,False
дерево,9786397,14661,14661,1,rusarbo.ru,0,not_planned,,,39,/chto-takoe-derevo,ВЧ,общий,arboristika,False
2 2 сколько это,704810,13402,13,1,kronotech.ru,0,not_planned,,,28,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
услуга вывоза мусора,22082,12944,12944,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:105,1,/,ВЧ,коммерческий,vyvoz-musora,False
уборка квартир,78802,12893,12893,1,moscleaning24.ru,0,not_planned,,,29,/uborka-kvartir,ВЧ,общий,,False
квадратный метр,1296895,12605,6110,1,kronotech.ru,0,not_planned,,,27,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,общий,,False
метр квадратный,1323960,12488,6434,1,kronotech.ru,0,not_planned,,,36,/publications/poschitat-kolichestvo-kvadratnyh-metrov,ВЧ,общий,,False
клининг цены,31235,10826,10825,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,10,/stoimost,ВЧ,коммерческий,,False
2 2 м,3982443,10074,5,1,kronotech.ru,1,not_planned,,,8,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,общий,,False
размер кирпича,99974,9977,9975,1,kronotech.ru,1,not_planned,,,6,/publications/razmery-kirpicha,ВЧ,общий,,False
клининг уборка,30112,9580,9497,1,moscleaning24.ru,1,not_planned,,,9,/,ВЧ,общий,,False
3 м 3,3192729,8977,8,1,musor.moscow,0,not_planned,,,39,/blog/ves-stroitelnogo-musora,СЧ,общий,,False
вывоз мусора,384717,7907,7904,2,gsvm.ru;musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2,16,/,ВЧ,коммерческий,vyvoz-musora,False
цены клининг,20820,7757,5,1,cleaning-moscow.ru,0,not_planned,,,11,/price,СЧ,коммерческий,,False
уборка дома,109517,7735,7735,1,moscleaning24.ru,1,not_planned,,,10,/,ВЧ,общий,,False
капремонт,467621,7572,7572,1,kronotech.ru,0,not_planned,,,31,/publications/kapitalnyy-remont-zhilogo-doma,ВЧ,общий,,False
омела,44379,7268,7268,1,arborist.su,0,not_planned,,,27,/articles/nashi-stati/omela-na-derevyakh-chto-eto-takoe-i-kak-s-ney-borotsya,ВЧ,общий,,False
уборка помещений,98733,6561,6561,1,moscleaning24.ru,0,not_planned,,,13,/,ВЧ,общий,,False
росы точка,59893,6528,0,1,kronotech.ru,0,not_planned,,,13,/publications/chto-takoe-tochka-rosy,ВЧ,общий,,False
точка росы,56399,6198,6198,1,kronotech.ru,0,not_planned,,,11,/publications/chto-takoe-tochka-rosy,ВЧ,общий,,False
короед штукатурка,37342,5813,3497,1,kronotech.ru,0,not_planned,,,32,/publications/nanosit-dekorativnuyu-shtukaturku-koroed,ВЧ,общий,,False
стекловата,43835,5787,5787,1,kronotech.ru,0,not_planned,,,38,/publications/kakaya-mineralnaya-vata,ВЧ,общий,,False
мусора вывоз,313040,5775,0,2,gsvm.ru;musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:81,11,/,ВЧ,коммерческий,vyvoz-musora,False
обрезка яблони весной,31238,5457,5375,1,liwood.ru,0,not_planned,,,25,/info/articles/obrezka-yablon-vesnoy,ВЧ,коммерческий,,False
короед,148568,5348,5348,3,arbogarden.ru;kronotech.ru;liwood.ru,0,not_planned,,,12,/info/articles/sposoby-zashchity-ot-koroeda,ВЧ,общий,,False
кодекс жилищный,95088,5327,20,1,stroj-musor.moscow,0,not_planned,,,43,/wp-content/uploads/2023/04/zhilishhnyj-kodeks-rossijskoj-federacii.pdf,СЧ,общий,,False
обработка участка от клещей,51696,5184,4695,1,arbogarden.ru,0,not_planned,,,12,/uslugi/opryskivanie/ot-komarov,ВЧ,общий,,False
обработка от клещей участка,51696,5184,292,1,arbogarden.ru,0,not_planned,,,26,/uslugi/opryskivanie/ot-komarov,СЧ,общий,,False
роп,50977,5173,5173,1,musor.moscow,0,not_planned,,,41,/blog/rop,ВЧ,общий,,False
от клещей обработка участка,52133,5157,197,1,arbogarden.ru,0,not_planned,,,15,/uslugi/opryskivanie/ot-komarov,СЧ,общий,,False
уборка,1878148,5140,5140,1,cleaning-moscow.ru,0,not_planned,,,11,/uborka-kvartir,ВЧ,общий,,False
весенняя обработка сада,31159,4894,4861,1,liwood.ru,0,not_planned,,,33,/info/articles/opryskivanie-plodovykh-derevev-vesnoy,ВЧ,общий,,False
кирпича размеры,95027,4874,5,1,kronotech.ru,1,not_planned,,,8,/publications/razmery-kirpicha,СЧ,общий,,False
химчистка дивана,21134,4531,4530,1,cleaning-moscow.ru,0,not_planned,,,25,/himchistka/divanov,ВЧ,общий,,False
фасад,1170333,4528,4528,1,kronotech.ru,0,not_planned,,,29,/publications/fasad-doma-vidy-oblicovki,ВЧ,общий,,False
уборка снега,645697,4508,4501,1,kronotech.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,22,/vysotnye-raboty/ochistka-krovli-ot-snega,ВЧ,общий,uborka-snega,False
фкко,81908,4476,4476,1,musor.moscow,0,not_planned,,,22,/blog/fkko-othody,ВЧ,общий,,False
цоколь,446234,4423,4423,1,kronotech.ru,0,not_planned,,,29,/publications/otdelka-cokolya-doma,ВЧ,общий,,False
1 га м2 сколько,6454,4413,4,1,kronotech.ru,0,not_planned,,,43,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
1 м2 сколько га,6454,4413,15,1,kronotech.ru,0,not_planned,,,42,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
капитальный ремонт,719720,4286,4278,1,kronotech.ru,0,not_planned,,,35,/publications/kapitalnyy-remont-zhilogo-doma,ВЧ,общий,,False
от клещей средство,119317,4231,94,1,arbogarden.ru,0,not_planned,,,35,/stati/sredstva-ot-kleshhej,СЧ,общий,,False
утеплитель,496609,4150,4150,1,kronotech.ru,0,not_planned,,,34,/publications/utepliteli-naruzhnoy-teploizolyacii,ВЧ,общий,,False
перевести в метры в квадратные,35013,4013,0,1,kronotech.ru,0,not_planned,,,41,/publications/poschitat-kolichestvo-kvadratnyh-metrov,ВЧ,общий,,False
обращение в тко в квитанции что это,6864,3890,9,1,stroj-musor.moscow,0,not_planned,,,14,/stati/tko-v-kvitancii,СЧ,общий,vyvoz-musora,False
фасадные термопанели,28659,3826,2115,1,kronotech.ru,0,not_planned,,,34,/publications/otdelka-doma-termopanelyami,ВЧ,общий,,False
штукатурка стен,206497,3818,3818,1,kronotech.ru,0,not_planned,,,20,/prays-shtukaturka-sten,ВЧ,общий,,False
обращение с тко что это в квитанции,6531,3793,3539,1,stroj-musor.moscow,0,not_planned,,,25,/stati/tko-v-kvitancii,ВЧ,общий,vyvoz-musora,False
ветошь это,7216,3780,3777,1,musor.moscow,0,not_planned,,,14,/blog/othody-vetoshi,ВЧ,общий,,False
это ветошь,7617,3720,0,1,musor.moscow,0,not_planned,,,17,/blog/othody-vetoshi,ВЧ,общий,,False
фз 89,26601,3707,1412,1,gsvm.ru,0,not_planned,,,32,/documentation/fz89,СЧ,общий,,False
квадратный метр м2,21015,3683,12,1,kronotech.ru,0,not_planned,,,19,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,общий,,False
весенняя обработка сада от болезней и вредителей,11246,3661,3596,1,liwood.ru,0,not_planned,,,35,/info/articles/opryskivanie-plodovykh-derevev-vesnoy,ВЧ,общий,,False
кодекс лесной,27786,3641,4,1,arborist.su,0,not_planned,,,18,/upload/iblock/1dd/6g95igokekhq6o42c982lxnnslwk5m6l.pdf,СЧ,общий,,False
демонтаж,399381,3587,3587,3,demontazhmsk.ru;kronotech.ru;snosim.com,0,not_planned,,,24,/,ВЧ,общий,demontazh-b2c,False
м2 метр квадратный,22376,3576,304,1,kronotech.ru,0,not_planned,,,17,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,общий,,False
метр квадратный м2,22376,3576,2996,1,kronotech.ru,0,not_planned,,,28,/publications/poschitat-kolichestvo-kvadratnyh-metrov,ВЧ,общий,,False
м2 квадратный метр,22376,3576,263,1,kronotech.ru,0,not_planned,,,13,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,общий,,False
лесной кодекс,26450,3475,3469,1,arborist.su,0,not_planned,,,20,/upload/iblock/1dd/6g95igokekhq6o42c982lxnnslwk5m6l.pdf,ВЧ,общий,,False
1 сотка сколько м2,5504,3447,3444,1,kronotech.ru,0,not_planned,,,12,/publications/skolko-m2-v-sotke,ВЧ,информационный,,False
штукатурка короед,20702,3346,1583,1,kronotech.ru,0,not_planned,,,31,/publications/nanosit-dekorativnuyu-shtukaturku-koroed,СЧ,общий,,False
расшифровка тко,5720,3335,99,1,musor.moscow,0,not_planned,,,38,/blog/chto-takoe-tko,СЧ,общий,vyvoz-musora,False
короед жук,13817,3295,1722,2,arbogarden.ru;liwood.ru,0,not_planned,,,17,/stati/obrabotka-dereva-ot-koroeda,ВЧ,общий,,False
размер стандарт кирпича,11176,3274,8,1,kronotech.ru,1,not_planned,,,7,/publications/razmery-kirpicha,СЧ,общий,,False
размер кирпича стандарт,11176,3274,3243,1,kronotech.ru,1,not_planned,,,7,/publications/razmery-kirpicha,ВЧ,общий,,False
в квитанции обращение с тко что это,5135,3258,29,1,musor.moscow,0,not_planned,,,39,/blog/obrashhenie-s-tko,СЧ,общий,vyvoz-musora,False
клининговая компания,76906,3241,3240,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,14,/,ВЧ,коммерческий,,False
компания клининговая,76906,3241,1,1,moscleaning24.ru,0,not_planned,,,24,/,СЧ,коммерческий,,False
уборка клининг,17325,3232,69,1,cleaning-moscow.ru,0,not_planned,,,31,/,СЧ,общий,,False
