keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster,priority
короед,148568,5348,5348,3,arbogarden.ru;kronotech.ru;liwood.ru,0,not_planned,,,12,/info/articles/sposoby-zashchity-ot-koroeda,ВЧ,общий,,False,A2
демонтаж,399381,3587,3587,3,demontazhmsk.ru;kronotech.ru;snosim.com,0,not_planned,,,24,/,ВЧ,общий,demontazh-b2c,False,A2
кгм,206527,1678,1678,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/blog/krupnogabaritnyj-musor,ВЧ,общий,vyvoz-musora,False,A2
арборист,6459,1020,1020,6,alpbond.org;arbogarden.ru;arborist.su;lesoruby.com;lesovod.su;rusarbo.ru,1,not_planned,,,6,/,ВЧ,общий,arboristika,False,A1
альпинист промышленный,12598,815,42,3,alpbond.org;fasadrf.ru;kronotech.ru,1,not_planned,,,3,/vysotnye-raboty/promalp,СЧ,общий,,False,A2
контейнер заказать для мусора,10468,606,30,3,gsvm.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/,СЧ,коммерческий,vyvoz-musora,False,A2
спил,93070,576,576,4,arboristik.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,0,not_planned,,,30,/services/spil-derevev,СЧ,коммерческий,arboristika,False,A2
вывоз тбо,17523,405,398,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,5,/service,СЧ,коммерческий,vyvoz-musora,False,A2
арбористика,2308,366,366,6,alpbond.org;arbogarden.ru;arborist.su;lesoruby.com;rusarbo.ru;udalenie-dereviev.moscow,0,not_planned,,,13,/,СЧ,общий,arboristika,False,A2
арборист это кто,757,339,20,4,lesoruby.com;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,8,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False,A2
арборист кто это,757,339,319,3,arbogarden.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,10,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False,A2
тбо вывоз,20643,326,7,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,7,/,СЧ,коммерческий,vyvoz-musora,False,A2
вывоз мусора крупногабаритного,4777,306,18,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,7,/service,СЧ,коммерческий,vyvoz-musora,False,A2
