word,ws,wsk,best_pos,intent,pillar,domains_count,domains,ranking_urls
обрезка груши весной,11516,3176,17,other,arboristika,1,liwood.ru,liwood.ru/info/articles/obrezka-molodoy-grushi-vesnoy
чистка снега с крыши,66672,2946,28,other,other,1,liwood.ru,liwood.ru/services/promyshlennyy-alpinizm/ochistka-krysh-ot-snega
весной чем обработать сад,38042,2586,28,info,arboristika,1,liwood.ru,liwood.ru/info/articles/opryskivanie-plodovykh-derevev-vesnoy
спил деревьев,78316,2312,4,other,arboristika,1,arboristik.ru,arboristik.ru/tsenyi
как обрезать яблоню весной,21578,2309,19,info,other,1,liwood.ru,liwood.ru/info/articles/obrezka-yablon-vesnoy
уборка снега с крыши,110776,2190,36,other,other,1,liwood.ru,liwood.ru/services/promyshlennyy-alpinizm/ochistka-krysh-ot-snega
как обрезать яблоню,38687,2122,33,info,other,1,liwood.ru,liwood.ru/info/articles/obrezka-yablon-vesnoy
обрезка сливы весной,6359,1948,24,other,arboristika,1,liwood.ru,liwood.ru/info/articles/kak-sdelat-obrezku-slivy
как обрезать правильно яблоню,14676,1932,30,info,other,1,liwood.ru,liwood.ru/info/articles/obrezka-yablon-vesnoy
как обрезать яблоню правильно,14676,1932,32,info,other,1,liwood.ru,liwood.ru/info/articles/obrezka-yablon-vesnoy
как правильно обрезать яблоню,14676,1932,36,info,other,1,liwood.ru,liwood.ru/info/articles/obrezka-yablon-vesnoy
груши обрезка,24498,1790,17,other,arboristika,1,liwood.ru,liwood.ru/info/articles/obrezka-vzrosloy-grushi
обрезка деревьев,104125,1600,38,other,arboristika,1,liwood.ru,liwood.ru/services/obrezka-derevev/obrezka-vysokih-derevev
подкормка яблони весной,6589,1530,21,other,other,1,liwood.ru,liwood.ru/info/articles/podkormka-plodovykh-derevev
когда обрезать деревья весной,8330,1524,36,info,other,1,liwood.ru,liwood.ru/info/articles/obrezka-derevev-vesnoy; liwood.ru/info/articles/obrezka-yablon-vesnoy
дупло,126341,1511,19,other,other,1,liwood.ru,liwood.ru/info/articles/kak-zadelat-duplo-v-plodovom-dereve
как обрезать грушу весной,9869,1417,15,info,other,1,liwood.ru,liwood.ru/info/articles/obrezka-molodoy-grushi-vesnoy
весенняя обработка плодовых деревьев и кустарников ранней весной,2338,1382,17,other,other,1,liwood.ru,liwood.ru/info/articles/opryskivanie-plodovykh-derevev-vesnoy
обрезка деревьев весной,16905,1360,30,other,arboristika,1,liwood.ru,liwood.ru/info/articles/obrezka-derevev-vesnoy
корчевка,6146,1356,25,other,other,1,arboristik.ru,arboristik.ru/korchevanie-pney
обрезка груши,21165,1321,25,other,arboristika,1,liwood.ru,liwood.ru/info/articles/obrezka-vzrosloy-grushi
как обрезать сливу весной,5200,1261,16,info,other,1,liwood.ru,liwood.ru/info/articles/kak-sdelat-obrezku-slivy
