word,ws,wsk,intent,pillar,single_domain
обрезка груши весной,11516,3176,other,arboristika,liwood.ru
чистка снега с крыши,66672,2946,other,other,liwood.ru
весной чем обработать сад,38042,2586,info,arboristika,liwood.ru
спил деревьев,78316,2312,other,arboristika,arboristik.ru
как обрезать яблоню весной,21578,2309,info,other,liwood.ru
уборка снега с крыши,110776,2190,other,other,liwood.ru
как обрезать яблоню,38687,2122,info,other,liwood.ru
обрезка сливы весной,6359,1948,other,arboristika,liwood.ru
как обрезать правильно яблоню,14676,1932,info,other,liwood.ru
как обрезать яблоню правильно,14676,1932,info,other,liwood.ru
как правильно обрезать яблоню,14676,1932,info,other,liwood.ru
груши обрезка,24498,1790,other,arboristika,liwood.ru
обрезка деревьев,104125,1600,other,arboristika,liwood.ru
подкормка яблони весной,6589,1530,other,other,liwood.ru
когда обрезать деревья весной,8330,1524,info,other,liwood.ru
дупло,126341,1511,other,other,liwood.ru
как обрезать грушу весной,9869,1417,info,other,liwood.ru
весенняя обработка плодовых деревьев и кустарников ранней весной,2338,1382,other,other,liwood.ru
обрезка деревьев весной,16905,1360,other,arboristika,liwood.ru
корчевка,6146,1356,other,other,arboristik.ru
обрезка груши,21165,1321,other,arboristika,liwood.ru
как обрезать сливу весной,5200,1261,info,other,liwood.ru
ст 260 ук рф,3536,1178,other,other,liwood.ru
промышленный альпинизм,9235,1068,other,other,liwood.ru
прививка деревьев,38946,1067,other,other,liwood.ru
обрезка плодовых деревьев,18651,1064,other,arboristika,liwood.ru
обрезка сливы,12138,1027,other,arboristika,liwood.ru
арборист,6459,1020,other,arboristika,arborist.su
лк рф,15749,992,other,other,arborist.su
обрезка плодовых деревьев весной,6111,990,other,arboristika,liwood.ru
короед жук фото,1929,960,other,arboristika,liwood.ru
короед фото жук,1929,960,other,arboristika,liwood.ru
промышленный альпинист,13823,953,other,other,liwood.ru
обрезка яблонь весной,31238,930,other,arboristika,liwood.ru
весенняя обрезка яблонь,3685,927,other,arboristika,liwood.ru
весной чем обрабатывать деревья,41816,903,info,other,liwood.ru
омела что это,3100,885,other,other,arborist.su
омела это что,3100,885,other,other,arborist.su
подкормка,892144,854,other,other,liwood.ru
обрезка колоновидной яблони весной,2298,837,other,arboristika,liwood.ru
омела на деревьях,3027,824,other,other,arborist.su
альпинизм промышленный,9111,818,other,other,liwood.ru
как обрезать грушу правильно,6470,807,info,other,liwood.ru
как обрезать правильно грушу,6470,807,info,other,liwood.ru
как правильно обрезать грушу,6470,807,info,other,liwood.ru
обрезка черешни,8951,794,other,arboristika,liwood.ru
обрезка колоновидной яблони,5487,764,other,arboristika,liwood.ru
обрезка яблони колоновидной,5487,764,other,arboristika,liwood.ru
весенняя подкормка плодовых деревьев и кустарников ранней весной,774,740,other,other,liwood.ru
обрезка яблонь,59707,740,other,arboristika,liwood.ru
как обрезать колоновидную яблоню,3450,729,info,other,liwood.ru
весенняя обработка деревьев,11415,724,other,other,liwood.ru
чистка крыши от снега и наледи цены,951,712,pricing,other,liwood.ru
как обрезать черешню,8116,696,info,other,liwood.ru
уборка снега в москве,10399,693,lead,other,liwood.ru
как обрезать сливу,8477,660,info,other,liwood.ru
яблони обрезка,14344,650,other,arboristika,liwood.ru
подкормка яблонь весной,6589,649,other,other,liwood.ru
персиковое дерево,6454,648,other,other,liwood.ru
когда обрезать яблоню весной,6723,625,info,other,liwood.ru
омела что это за растение,707,587,other,other,arborist.su
спил,142351,582,other,arboristika,arboristik.ru
амела,4118,580,other,other,arborist.su
кронирование деревьев,4749,572,other,other,arboristik.ru
