keyword,cluster,pillar,intent,freq_wordstat_total_msk_mo,freq_quotes_phrase,freq_exclam_exact,tematic_classifier,source
вывоз мусора,localFALLBACK-WITHFREQ-20260425T151607Z:2,vyvoz-musora,общий,102789,2287,2269,,keysso:musor.moscow;jm
вывоз мусора контейнером,localFALLBACK-WITHFREQ-20260425T151607Z:4,vyvoz-musora,общий,11991,648,198,,keysso:musor.moscow;jm
спил деревьев,localFALLBACK-WITHFREQ-20260425T151607Z:5,arboristika,общий,11228,615,461,,jm
вывоз строительного мусора,localFALLBACK-WITHFREQ-20260425T151607Z:17,vyvoz-musora,общий,10284,1219,1208,,keysso:musor.moscow;jm
вывоз мусора москва,localFALLBACK-WITHFREQ-20260425T151607Z:2,vyvoz-musora,локальный,9208,603,601,,keysso:musor.moscow;jm
4 в 1 услуги,test50-1505300:18,neuro-info,общий,7947,0,0,/Hi-Tech/Интернет/Доступ в интернет/Провайдеры,jm
вырубка деревьев,localFALLBACK-WITHFREQ-20260425T151607Z:15,arboristika,общий,7008,176,174,,keysso:liwood.ru;jm
выравнивание участка,localFALLBACK-WITHFREQ-20260425T151607Z:37,arboristika,общий,5523,619,603,,keysso:liwood.ru;jm
вывоз бытового мусора,localFALLBACK-WITHFREQ-20260425T151607Z:28,vyvoz-musora,общий,4994,4039,4037,,jm
вывоз старой мебели,localFALLBACK-WITHFREQ-20260425T151607Z:57,vyvoz-musora,общий,4957,405,402,,jm
вывоз мусора московская область,localFALLBACK-WITHFREQ-20260425T151607Z:2,vyvoz-musora,локальный,3995,34,30,,jm
вывоз мусора цена,localFALLBACK-WITHFREQ-20260425T151607Z:2,vyvoz-musora,коммерческий,3437,102,93,,keysso:musor.moscow;jm
альпинизм промышленный,test50-1505300:22,tools-and-docs,общий,2415,365,360,"/Отдых/Туризм/Спортивный туризм/Альпинизм, горный туризм",keysso:liwood.ru;jm
аренда автовышки,test50-1505300:2,tools-and-docs,общий,1875,242,165,/Бизнес/Строительство/Строительное оборудование/Cтроительная техника,jm
вывоз мусора грузчиками,localFALLBACK-WITHFREQ-20260425T151607Z:2,vyvoz-musora,общий,1632,7,0,,jm
вывоз мусора газель,localFALLBACK-WITHFREQ-20260425T151607Z:40,vyvoz-musora,общий,1453,121,95,,keysso:musor.moscow;jm
аренда измельчителя,test50-1505300:1,tools-and-docs,общий,1340,15,13,/Справки/Транспорт/Такси и прокат автомобиля,jm
