keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
абрикос обрезка и формирование кроны весной,62,62,1,НЧ,/info/articles/obrezka-abrikosa-osenyu,0
кронирование деревьев расценка в смете,18,18,6,НЧ,/tsenyi,0
как обрезать сосну для формирования кроны,9,9,1,НЧ,/poleznye-stati/obrezka-sosny,0
когда обрезать березу для формирования кроны,8,8,2,НЧ,/blog/kak-pravilno-obrezat-berezu-i-formirovat-kronu,0
как и когда обрезать сосну для формирования кроны,8,3,1,НЧ,/poleznye-stati/obrezka-sosny,0
обрезка липы весной формирование кроны,7,7,2,НЧ,/blog/obrezka-vetvej-lipy-i-formirovanie-krony,0
кронирование деревьев цена,6,6,9,НЧ,/tsenyi,1
обрезка сосны весной для формирования кроны,5,5,2,НЧ,/articles/obrezka-sosny-obyknovennoj,0
кронирование деревьев цена московская область,4,4,8,НЧ,/tsenyi,0
кронирование деревьев цена за одно дерево,4,4,7,НЧ,/tsenyi,1
обрезка ели весной для формирования кроны,4,4,1,НЧ,/articles/vesennyaya-obrezka-derevev-27-04-2017,0
как обрезать сосну обыкновенную для формирования кроны,4,1,1,НЧ,/articles/obrezka-sosny-obyknovennoj,0
обрезка липы осенью формирование кроны,3,3,3,НЧ,/blog/obrezka-vetvej-lipy-i-formirovanie-krony,1
когда можно обрезать ели для формирования кроны,3,3,1,НЧ,/articles/obrezka-i-formirovanie-krony-eli,0
когда обрезать сосну для формирования кроны,3,3,1,НЧ,/articles/obrezka-sosny-obyknovennoj,0
спил и кронирование деревьев,2,2,5,НЧ,/,1
