keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
обрезка яблони весной,5457,5375,1,ВЧ,/info/articles/obrezka-yablon-vesnoy,0
обрезка груши весной,3176,3134,1,ВЧ,/info/articles/obrezka-molodoy-grushi-vesnoy,0
как обрезать яблоню весной,2309,2078,1,ВЧ,/info/articles/obrezka-yablon-vesnoy,0
как обрезать яблоню,2122,2106,1,ВЧ,/info/articles/obrezka-yablon-vesnoy,0
обрезка сливы весной,1948,1925,1,ВЧ,/info/articles/kak-sdelat-obrezku-slivy,0
как обрезать яблоню правильно,1932,11,1,СЧ,/info/articles/obrezka-yablon-vesnoy,0
как правильно обрезать яблоню,1932,1887,1,ВЧ,/info/articles/obrezka-yablon-vesnoy,0
обрезка деревьев,1600,1600,2,ВЧ,/obrezka-derevev-v-moskovskoi-oblasti,0
когда обрезать деревья весной,1524,1214,1,ВЧ,/info/articles/obrezka-derevev-vesnoy,0
обрезка деревьев весной,1360,1343,1,ВЧ,/info/articles/obrezka-derevev-vesnoy,0
обрезка груши,1321,1316,1,ВЧ,/info/articles/obrezka-vzrosloy-grushi,0
обрезка плодовых деревьев,1064,862,1,ВЧ,/info/articles/sroki-obrezki-plodovykh-derevev,0
обрезка сливы,1027,1027,1,ВЧ,/info/articles/kak-sdelat-obrezku-slivy,0
обрезка плодовых деревьев весной,990,911,1,СЧ,/info/articles/obrezka-derevev-vesnoy,0
обрезка яблонь весной,930,916,1,СЧ,/info/articles/obrezka-yablon-vesnoy,0
весенняя обрезка яблонь,927,919,1,СЧ,/info/articles/obrezka-yablon-vesnoy,0
обрезка черешни,794,793,1,СЧ,/info/articles/obrezka-chereshni-osenyu,0
обрезка яблони колоновидной,764,25,1,СЧ,/info/articles/obrezka-kolonovidnykh-yablon,0
обрезка яблонь,740,740,1,СЧ,/info/articles/obrezka-yablon-vesnoy,0
обрезка абрикоса,714,714,1,СЧ,/info/articles/obrezka-abrikosa-osenyu,0
когда обрезать яблоню весной,625,528,1,СЧ,/info/articles/obrezka-yablon-vesnoy,0
когда обрезать деревья,444,435,1,СЧ,/info/articles/kalendar-obrezki-plodovykh-derevev,0
как обрезать яблони весной,431,388,1,СЧ,/info/articles/obrezka-yablon-vesnoy,0
весенняя обрезка сливы,372,360,1,СЧ,/info/articles/kak-sdelat-obrezku-slivy,0
