keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
сколько стоит порубочный билет,52,42,5,НЧ,/services/poluchenie-porubochnogo-bileta,0
порубочный билет сколько стоит,49,9,4,НЧ,/services/poluchenie-porubochnogo-bileta,1
разрешение на спил деревьев,48,48,2,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
как оформить порубочный билет,28,23,3,НЧ,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta,0
разрешение на спил дерева,24,24,1,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
порубочный билет московская область цена за дерево,21,21,6,НЧ,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta-v-moskovskoy-oblasti,0
стоимость порубочного билета,18,18,4,НЧ,/price,1
где взять разрешение на спил дерева возле дома,15,15,2,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
разрешение на спил деревьев на своем земельном участке,15,15,2,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
нужно ли разрешение на спил дерева на своем участке,12,12,2,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
сколько стоит порубочный билет на одно дерево,11,11,4,НЧ,/price/price-porubochniy-bilet,1
оформить порубочный билет,11,11,2,НЧ,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta-v-moskovskoy-oblasti,0
сколько стоит порубочный билет в московской области,9,9,6,НЧ,/price/price-porubochniy-bilet,1
где взять разрешение на спил дерева,8,8,1,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
порубочный билет московская область цена за дерево на своем участке,7,7,4,НЧ,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta-v-moskovskoy-oblasti,0
как оформить порубочный билет через портал госуслуг,7,7,1,НЧ,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta,0
как оформить порубочный билет в московской области,7,7,2,НЧ,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta-v-moskovskoy-oblasti,0
кто получает порубочный билет заказчик или подрядчик,7,7,2,НЧ,/advice/zakony/oformlenie-porubochnogo-bileta,0
разрешение на спил дерева у дома как получить,7,7,1,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
как оформить порубочный билет в москве для юридических лиц,5,5,3,НЧ,/advice/zakony/oformlenie-porubochnogo-bileta,1
порубочный билет на вырубку деревьев цена,5,5,3,НЧ,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta,1
как получить разрешение на спил дерева,5,5,1,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
нужно ли разрешение на спил деревьев на своем участке,5,5,1,НЧ,/stati/spilit-derevo-na-svoem-uchastke,0
разрешение на спил дерева на своем участке в подмосковье,3,3,1,НЧ,/articles/nyuansy-udaleniya-derevev-v-moskovskoj-oblasti-06-02-2018,0
стоимость порубочного билета в московской области,2,2,2,НЧ,/price,0
цена порубочного билета,2,2,2,НЧ,/services/porubochnyy-bilet,0
выдача разрешения на спил дерева,2,2,2,НЧ,/articles/kak-oformit-porubochnyj-bilet-11-03-2016,0
порубочный билет цена,2,2,3,НЧ,/price,1
оформить порубочный билет в московской области,1,1,1,НЧ,/services/porubochnyy-bilet,0
как получить разрешение на спил дерева в лесу,1,1,1,НЧ,/services/porubochnyy-bilet,0
разрешение на спил деревьев в городе,1,1,1,НЧ,/articles/kak-oformit-porubochnyj-bilet-11-03-2016,0
