keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
корчевка,1356,1356,2,ВЧ,/korchevanie-i-udalenie-pnej,0
спил деревьев,644,644,7,СЧ,/,0
спил,576,576,4,СЧ,/services/spil-derevev,1
спил дерева,437,437,8,СЧ,/tsenyi,0
сколько стоит спилить дерево,290,279,11,СЧ,/tsenyi,0
сколько стоит дерево спилить,290,0,6,СЧ,/tsenyi,1
спилить дерево,219,214,8,СЧ,/,1
корчевание пней,189,189,8,СЧ,/vidy-rabot/korchevanie-pney,0
как правильно спилить дерево бензопилой в нужную сторону,172,75,2,СЧ,/stati/valka-derevev-benzopiloj,0
спил что такое,155,3,1,СЧ,/articles/chto-takoe-spil-dereva-s-zaveshivaniem-i-kogda-eto-trebuetsya-28-08-2016,0
спилы дерева,144,144,2,СЧ,/spil-derevev,0
как спилить дерево,140,136,3,СЧ,/stati/kak-spilit-derevo-na-svoem-uchastke,1
что такое спил,139,134,1,СЧ,/articles/chto-takoe-spil-dereva-s-zaveshivaniem-i-kogda-eto-trebuetsya-28-08-2016,0
корчевка пней,112,112,8,СЧ,/services/udalenie-pney/korchevanie-pnei,0
спил деревьев в ростове на дону,111,111,1,СЧ,/tsenyi,0
корчевание,106,106,5,СЧ,/korchevanie-pney,1
корчевка это,85,85,1,НЧ,/korchevanie-i-udalenie-pnej,0
корчевание деревьев,79,79,5,НЧ,/korchevanie-pney,0
спил деревьев в новосибирске,73,73,4,НЧ,/price,1
спил деревьев новосибирск,72,72,1,НЧ,/price,0
корчевка деревьев,70,70,3,НЧ,/services/udalenie-pney/korchevanie-pnei,1
спиленные деревья,65,64,6,НЧ,/,1
спилить дерево как правильно,64,0,2,НЧ,/poleznye-stati/kak-spilit-derevo-na-uchastke,0
штраф за спиленное дерево,63,63,1,НЧ,/info/articles/otvetstvennost-za-nezakonnuyu-vyrubku-derevev,0
спил деревьев уфа,59,59,2,НЧ,/price,0
расценка в смете валка деревьев,57,0,4,НЧ,/Smeta-na-vyrybky.pdf,1
