keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
сколько стоит снести дачный дом,13,11,2,НЧ,/,0
снос дачного дома с вывозом цена,9,9,2,НЧ,/snos-dachnykh-domov,0
демонтаж дачного дома и вывоз мусора цена,8,8,2,НЧ,/,0
снести дачный дом цена с вывозом,7,7,3,НЧ,/,1
снос дачных домов,5,5,3,НЧ,/,1
сколько стоит снести дачный дом и вывезти мусор,3,3,2,НЧ,/snos-dachnykh-domov,0
снос дачи,3,3,2,НЧ,/snos-dachnykh-domov,0
снести дачный дом цена,2,2,1,НЧ,/snos-dachnykh-domov,0
сколько стоит демонтаж дачного дома,1,1,2,НЧ,/razobrat-dom,0
снос дачного дома,1,1,2,НЧ,/,0
