keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
сколько стоит снести дом,234,226,1,СЧ,/prays-demontazhnye-raboty,0
под снос дома,227,15,1,СЧ,/,0
снести дом сколько стоит,148,7,3,СЧ,/,1
снос дома,148,148,2,СЧ,/demontazh-zdanij,0
сколько стоит снос дома,142,130,2,СЧ,/snos-dachnykh-domov,0
сколько стоит снести дом на участке,108,108,4,СЧ,/snos-dachnykh-domov,1
снести дом на участке цена,45,45,3,НЧ,/snos-dachnykh-domov,1
сколько стоит снести дом на участке и вывезти,43,43,3,НЧ,/snos-dachnykh-domov,1
снос дома сколько стоит,40,4,4,НЧ,/price,1
снос дома и вывоз мусора цена,37,37,3,НЧ,/snos-dachnykh-domov,1
сколько стоит снести дом на участке и вывезти мусор,36,36,2,НЧ,/razobrat-dom,0
разрешение на снос дома на собственном участке,33,33,1,НЧ,/stati/kakie-neobkhodimy-dokumenty-dlya-snosa-chastnogo-doma,0
сколько стоит снос дома с вывозом цена,30,30,2,НЧ,/snos-dachnykh-domov,0
галилео снос дома,28,26,1,НЧ,/,0
снос дома цена подмосковье с вывозом мусора,27,27,3,НЧ,/,0
снос дома цена,26,26,3,НЧ,/price,0
сколько стоит снести дом на участке цена,19,19,2,НЧ,/price,0
стоимость снести дом,17,4,2,НЧ,/,0
снести дом на участке цена в подмосковье,17,17,1,НЧ,/,0
сколько стоит снести дом и вывезти мусор,16,15,3,НЧ,/price,1
снос дома экскаватором,15,15,1,НЧ,/demontazh-zdanij,0
компенсация за снос дома с земельным участком,13,13,1,НЧ,/stati/kompensatsiya-za-snos-chastnogo-doma,0
сколько стоит снос дома с вывозом,11,11,2,НЧ,/,0
снос дома на участке,10,10,2,НЧ,/snos-dachnykh-domov,0
снос дома и вывоз мусора,9,9,2,НЧ,/,0
разрешение на снос дома,9,9,1,НЧ,/stati/razreshenie-na-snos-chastnogo-doma,0
снос дома на даче цена в подмосковье,7,7,3,НЧ,/,1
компенсация за снос дома,7,7,1,НЧ,/stati/kompensatsiya-za-snos-chastnogo-doma,0
снос дома стоимость,6,6,4,НЧ,/price,0
снести дом цена с вывозом подмосковье,6,6,3,НЧ,/,1
снести дом цена с вывозом,6,6,2,НЧ,/,0
снос дома цена подмосковье,4,4,3,НЧ,/snos-dachnykh-domov,0
снос дома и вывоз,4,3,3,НЧ,/,1
снос дома 4 буквы,4,4,1,НЧ,/services/snos-domov,0
снести дом цена,3,3,3,НЧ,/,1
сколько стоит снести дом и вывезти,3,1,3,НЧ,/razobrat-dom,1
снос дома и вывоз цена,2,2,2,НЧ,/razobrat-dom,0
снос дома цена подмосковье с вывозом,2,2,2,НЧ,/snos-dachnykh-domov,0
нужно ли разрешение на снос дома,2,2,1,НЧ,/stati/razreshenie-na-snos-chastnogo-doma,0
снос дома в подмосковье,2,2,2,НЧ,/uslugi/snos-vetkhogo-doma,0
сколько стоит снести дом и расчистить участок,2,2,1,НЧ,/snos-dachnykh-domov,0
снос дома дачного цена,1,1,3,НЧ,/snos-dachnykh-domov,1
сколько стоит снести дом на участке цена московская область,1,1,1,НЧ,/,0
снос дома в деревне,1,1,2,НЧ,/snos-doma-v-derevne,0
снос дома на даче,1,1,2,НЧ,/snos-dachnykh-domov,0
снос дома под ключ,1,1,2,НЧ,/,0
