keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
контейнер для мусора заказать,606,350,3,СЧ,/,0
заказать контейнер для мусора,562,207,4,СЧ,/,0
заказать контейнер мусорный,253,6,2,СЧ,/,0
купить бункер для мусора 8 м3,132,5,2,СЧ,/containers/8-m3-do-5-tonn,0
заказать бункер для мусора,122,97,2,СЧ,/service/vyvoz-musora-bunkerom,0
мусорный контейнер 8 м3 заказать,119,117,2,СЧ,/arenda-kontejnera-8-m3,0
заказать контейнер для вывоза мусора в москве,115,99,1,СЧ,/,0
заказать контейнер под мусор,102,52,2,СЧ,/kontejner-dlja-musora,0
заказать контейнер,96,71,1,НЧ,/,0
заказать контейнер для вывоза мусора,94,68,2,НЧ,/,0
контейнер для мусора заказать в москве,89,59,4,НЧ,/,0
контейнер для мусора вывоз,84,83,3,НЧ,/,1
заказать контейнер для мусора в москве,73,12,3,НЧ,/,0
купить контейнер для мусора 8 кубов,73,24,1,НЧ,/containers/8-m3-do-5-tonn,0
бункер для мусора заказать,61,24,2,НЧ,/,0
вывоз мусора москва контейнер 8 м3,60,3,3,НЧ,/arenda-kontejnera-8-m3,0
вывоз мусора контейнер 8 м3 москва,60,57,4,НЧ,/,0
сколько стоит контейнер для мусора,49,48,2,НЧ,/kontejner-dlja-musora,0
заказать контейнер для строительного мусора,46,19,4,НЧ,/,1
контейнер для мусора строительного заказать,46,7,4,НЧ,/kontejner-dlja-musora,1
мусорный контейнер 8 м3 купить,46,29,1,НЧ,/containers/8-m3-do-5-tonn,0
вывоз мусора контейнер 8 м3,43,43,2,НЧ,/arenda-kontejnera-8-m3,0
контейнер для мусора 8 м3 купить,41,10,1,НЧ,/,0
контейнер для мусора 8м3 купить,40,1,1,НЧ,/containers/8-m3-do-5-tonn,0
заказать контейнер вывоз мусора,38,7,2,НЧ,/,0
строительный контейнер для мусора заказать,36,28,1,НЧ,/,0
сколько стоит заказать контейнер для вывоза мусора в москве из квартиры,35,32,3,НЧ,/cena-na-vyvoz-musora,1
контейнер для мусора сколько стоит,32,1,1,НЧ,/kontejner-dlja-musora,0
заказать контейнер для вывоза мусора в подмосковье,28,26,1,НЧ,/,0
контейнер для мусора заказать москва,25,18,2,НЧ,/,0
вывоз мусора москва контейнер 8 м3 цена,25,14,2,НЧ,/,0
заказать строительный контейнер для мусора,25,2,2,НЧ,/,0
заказать контейнеровоз,25,3,1,НЧ,/,0
вывоз мусора заказать контейнер,23,9,2,НЧ,/,0
сколько стоит заказать контейнер для вывоза мусора по московской области,19,19,1,НЧ,/,0
