keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
чистка крыши от снега и наледи цены,712,712,8,СЧ,/uslugi/kliningovye-raboty/ochistka-krysh,0
очистка крыши от снега и наледи цены,633,633,4,СЧ,/services/promyshlennyy-alpinizm/ochistka-krysh-ot-snega,0
чистка крыши от снега цена,401,397,7,СЧ,/sbros-snega-s-krysh,0
уборка снега с крыши цена,211,206,4,СЧ,/services/promyshlennyy-alpinizm/ochistka-krysh-ot-snega,0
стоимость очистки крыши от снега за кв метр,181,181,6,СЧ,/services/promyshlennyy-alpinizm/ochistka-krysh-ot-snega,0
чистка кровли от снега и наледи цена,145,145,6,СЧ,/ochstka-krovli-ot-snega,0
чистка кровли от снега и наледи цена в москве,138,138,5,СЧ,/vysotnye-raboty/ochistka-krovli-ot-snega,0
очистка кровли от снега и наледи цена в москве,89,89,3,НЧ,/ochstka-krovli-ot-snega,0
очистка кровли от снега и наледи цена,32,32,5,НЧ,/sbros-snega-s-krysh,0
очистка кровли от мусора расценка в смете,15,15,1,НЧ,/ochistka-vodostokov-i-zhelobov-ot-listev,0
очистка кровли от снега цена за м2,8,8,3,НЧ,/uborka-snega-s-kryish.html,0
чистка крыши от мха стоимость,3,3,1,НЧ,/msk/krovlya/ochistka_mha,0
чистка кровли от снега цена за м2,2,2,3,НЧ,/uborka-snega-s-kryish.html,0
сбить сосульки с крыши цена,1,1,1,НЧ,/uborka-snega-s-kryish.html,0
очистка кровли услуги,0,0,1,НЧ,/uslugi/kliningovye-raboty/ochistka-krysh,0
