keyword,wsk,superwsk,domains_count,tier_freq,top_competitor_url,is_whitespace
покос травы цена за м2,222,222,1,СЧ,/services/uborka-territorii/strizhka-gazona,0
сколько стоит покос травы,167,154,1,СЧ,/services/uborka-territorii/strizhka-gazona,0
покос травы триммером цена за м2,159,98,2,СЧ,/services/uborka-territorii/strizhka-gazona,0
покос травы цена,137,135,1,СЧ,/pokos-travy,0
покос травы цены,108,108,1,СЧ,/pokos-travy,0
сколько стоит покосить траву,91,91,1,НЧ,/services/uborka-territorii/strizhka-gazona,0
покос травы цена за сотку московская область,52,52,1,НЧ,/pokos-travy,0
покос травы цена за сотку,49,43,1,НЧ,/services/uborka-territorii/strizhka-gazona,0
покос травы триммером цена,46,46,1,НЧ,/services/uborka-territorii/strizhka-gazona,0
покос травы стоимость,38,37,1,НЧ,/services/uborka-territorii/pokos-travy,0
покосить траву на участке цена,38,37,1,НЧ,/pokos-travy,0
покос травы стоимость 1 м2,34,34,1,НЧ,/services/uborka-territorii/strizhka-gazona,0
покос травы спил деревьев,27,21,4,НЧ,/tsenyi,1
покос травы триммером цена за сотку,19,15,1,НЧ,/pokos-travy,0
покос травы на участке цена за сотку,14,14,1,НЧ,/pokos-travy,0
покос травы трактором цена,9,9,1,НЧ,/pokos-travy,0
сколько стоит покос травы триммером за сотку,4,1,1,НЧ,/pokos-travy,0
