keyword,pillar,wsfreq,intent,cluster_id
вывоз мусора,vyvoz-musora,102789,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора контейнером,vyvoz-musora,11991,общий,localFALLBACK-WITHFREQ-20260425T151607Z:4
вывоз строительного мусора,vyvoz-musora,10284,общий,localFALLBACK-WITHFREQ-20260425T151607Z:17
вывоз мусора москва,vyvoz-musora,9208,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз бытового мусора,vyvoz-musora,4994,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28
вывоз старой мебели,vyvoz-musora,4957,общий,localFALLBACK-WITHFREQ-20260425T151607Z:57
вывоз мусора московская область,vyvoz-musora,3995,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора цена,vyvoz-musora,3437,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора грузчиками,vyvoz-musora,1632,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора газель,vyvoz-musora,1453,общий,localFALLBACK-WITHFREQ-20260425T151607Z:40
вывоз мусора подмосковье,vyvoz-musora,1103,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора недорого,vyvoz-musora,939,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора с участка,vyvoz-musora,814,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз крупногабаритного мусора,vyvoz-musora,750,общий,localFALLBACK-WITHFREQ-20260425T151607Z:25
вывоз веток,vyvoz-musora,727,общий,localFALLBACK-WITHFREQ-20260425T151607Z:11
авито вывоз мусора,vyvoz-musora,645,общий,test50-1505300:30
вывоз мусора одинцово,vyvoz-musora,644,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора 8 кубов,vyvoz-musora,622,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз хлама,vyvoz-musora,539,общий,localFALLBACK-WITHFREQ-20260425T151607Z:36
вывоз мусора с дачи,vyvoz-musora,301,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз мусора 20 кубов,vyvoz-musora,256,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз садового мусора,vyvoz-musora,187,общий,localFALLBACK-WITHFREQ-20260425T151607Z:56
вывоз листвы,vyvoz-musora,108,общий,localFALLBACK-WITHFREQ-20260425T151607Z:118
вывоз мусора 27 кубов,vyvoz-musora,87,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
вывоз строймусора,vyvoz-musora,41,общий,localFALLBACK-WITHFREQ-20260425T151607Z:50
авито вывоз мусора с дачи,vyvoz-musora,4,общий,test50-1505300:26
вывоз ветвей,vyvoz-musora,1,общий,localFALLBACK-WITHFREQ-20260425T151607Z:117
балашиха вывоз мусора,vyvoz-musora,0,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:2
большую часть мусора загрязняющего землю составляют,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:112
бункер 8 кубов вывоз мусора,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2
бункер для мусора заказать,vyvoz-musora,0,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:77
бункер мусорный,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:113
бытовой мусор,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28
бытовой мусор это,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28
вакансии водитель мусоровоза,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:114
вес мусора при демонтаже в смете,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:9
вес мусора строительного,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:17
вес строительного мусора,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:17
вес строительного мусора в 1 м3 таблица при демонтаже в смете,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:9
виды мусора,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:115
водитель мусоровоза,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:78
водитель мусоровоза вакансии,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:78
вывезти мусор,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:116
вывезти мусор из квартиры с грузчиками,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:79
вывезти мусор строительный,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:63
вывезти строительный мусор,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:63
вывоз бытового мусора в москве,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28
вывоз бытового мусора в москве из квартиры,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28
вывоз бытового мусора из квартиры,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28
вывоз бытового мусора из квартиры с грузчиками,vyvoz-musora,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:28
спил деревьев,arboristika,11228,общий,localFALLBACK-WITHFREQ-20260425T151607Z:5
вырубка деревьев,arboristika,7008,общий,localFALLBACK-WITHFREQ-20260425T151607Z:15
выравнивание участка,arboristika,5523,общий,localFALLBACK-WITHFREQ-20260425T151607Z:37
валка деревьев,arboristika,1099,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
вырубка деревьев москва,arboristika,512,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:15
выкорчевывание пня,arboristika,398,общий,localFALLBACK-WITHFREQ-20260425T151607Z:10
вырубка елей,arboristika,292,общий,localFALLBACK-WITHFREQ-20260425T151607Z:15
аварийный спил дерева,arboristika,160,общий,test50-1505300:4
аварийный спил деревьев,arboristika,160,общий,test50-1505300:4
авито обрезка деревьев,arboristika,157,общий,test50-1505300:27
вырубка леса под строительство,arboristika,125,общий,localFALLBACK-WITHFREQ-20260425T151607Z:15
декоративная обрезка деревьев,arboristika,92,общий,localFALLBACK-WITHFREQ-20260425T151607Z:41
вырубка елок,arboristika,43,общий,localFALLBACK-WITHFREQ-20260425T151607Z:82
аммиачная селитра для удаления пней,arboristika,34,общий,test50-1505300:17
валка деревьев частями,arboristika,24,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
авито спил деревьев цена,arboristika,6,коммерческий,test50-1505300:31
безопасный спил дерева,arboristika,1,общий,localFALLBACK-WITHFREQ-20260425T151607Z:5
болезни плодовых деревьев,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
болезни плодовых деревьев описание с фотографиями,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
болезнь деревьев,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
валка деревьев гэсн,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев мягких пород с корня диаметр стволов до 16 см,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев расценка в смете,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев расценка в смете гэсн,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев с корня,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев с корня это как,arboristika,0,информационный,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев с помощью лебедки,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев с применением автогидроподъемника,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29
валка деревьев цена за штуку в московской области,arboristika,0,коммерческий+локальный,localFALLBACK-WITHFREQ-20260425T151607Z:29
весенняя обработка деревьев,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
весенняя обработка плодовых деревьев и кустарников ранней весной,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
весенняя обрезка плодовых деревьев,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:6
весенняя обрезка сливы,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:6
виды прививки деревьев,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
виды прививок деревьев,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
виды прививок плодовых деревьев,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:3
вывоз деревьев и веток с участка,arboristika,0,общий,localFALLBACK-WITHFREQ-20260425T151607Z:11
